Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Buy Bo : Current,Custom_SKU,Match,Google_Search_Link,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
"kate spade crossbody purse for women Staci phone crossbody, Toasted hazelnut",304128.0,335118.0,77.0,1.0,77.0,$104.29 ,$79.48 ,A6SA3YQONVT1,2.0,B0CMT51F68,0196021322549,196021322549,B0C6FRQCD9,Kate Spade New York,no,,GB196021322549,Y,https://www.google.com/search?q=196021322549+kate+spade+crossbody+purse+for+women+Staci+phone+crossbody%2C+Toasted+hazelnut&tbm=shop,https://www.amazon.com/dp/B0CMT51F68?psc=1,"https://www.google.com/shopping/product/7000768800057056514/offers?q=196021322549&prds=cid:7000768800057056514,cond:1",Not Found,,,,,N
"Kate Spade New York Padfolio for Women, Undated Weekly Planner and To Do List Notepad, Vegan Leather Notepad Holder with Sticky Notes, Growing Tulips",198711.0,180193.0,28.95,13.0,28.95,$28.95 ,,-,0.0,B0BPN6V4LS,0825466161641,825466161641,B07JD1G72J,Kate Spade New York,yes,,GB825466161641,Y,https://www.google.com/search?q=825466161641+Kate+Spade+New+York+Padfolio+for+Women%2C+Undated+Weekly+Planner+and+To+Do+List+Notepad%2C+Vegan+Leather+Notepad+Holder+with+Sticky+Notes%2C+Growing+Tulips&tbm=shop,https://www.amazon.com/dp/B0BPN6V4LS?psc=1,"https://www.google.com/shopping/product/12751373465266306633/offers?q=825466161641&prds=cid:12751373465266306633,cond:1",Not Found,,,,,N
"Kate Spade New York Parker Place Dinner Plate, 1.50 LB, Blue",287070.0,312125.0,35.52,15.0,30.0,$105.06 ,$35.52 ,A3HL723KUZXKM8,3.0,B00EFBCHDS,0882864425225,882864425225,B0988DRCYL,Kate Spade New York,no,,GB882864425225,Y,https://www.google.com/search?q=882864425225+Kate+Spade+New+York+Parker+Place+Dinner+Plate%2C+1.50+LB%2C+Blue&tbm=shop,https://www.amazon.com/dp/B00EFBCHDS?psc=1,"https://www.google.com/shopping/product/9371927145132126259/offers?q=882864425225&prds=cid:9371927145132126259,cond:1",Zola,45.99,78.18,86.92,,N
"Kate Spade New York Parker Place 13"" Oval Serving Platter, 3.20 LB, Blue",291860.0,312335.0,97.67,1.0,97.67,$255.00 ,$118.74 ,AOMBLB0OTQ8M,6.0,B00GHRGJXM,0882864425249,882864425249,B0988DRCYL,Kate Spade New York,no,,GB882864425249,N,https://www.google.com/search?q=882864425249+Kate+Spade+New+York+Parker+Place+13%22+Oval+Serving+Platter%2C+3.20+LB%2C+Blue&tbm=shop,https://www.amazon.com/dp/B00GHRGJXM?psc=1,Not Found,Not Found,,,,,N
"Kate Spade New York Parker Place Cup, White",300664.0,312288.0,24.99,3.0,19.99,$94.21 ,$23.47 ,A1W90OOYBMP2KL,3.0,B00EFBCI1E,0882864425201,882864425201,B0988DRCYL,Kate Spade New York,no,,GB882864425201,N,https://www.google.com/search?q=882864425201+Kate+Spade+New+York+Parker+Place+Cup%2C+White&tbm=shop,https://www.amazon.com/dp/B00EFBCI1E?psc=1,Not Found,Not Found,,,,,N
"Kate Spade New York Make It Pop Dinner Plate, S/4, 6.90, Green/Pink",308982.0,373253.0,85.0,4.0,84.95,$85.00 ,$84.95 ,A1S6914ST7IGDS,2.0,B0B88V4HZP,0882864869029,882864869029,B0CWK3TYV4,Kate Spade New York,yes,,GB882864869029,N,https://www.google.com/search?q=882864869029+Kate+Spade+New+York+Make+It+Pop+Dinner+Plate%2C+S%2F4%2C+6.90%2C+Green%2FPink&tbm=shop,https://www.amazon.com/dp/B0B88V4HZP?psc=1,Not Found,Not Found,,,,,N
Kate Spade Sadie Medium Dome Satchel (Lilac Moonlight),1041557.0,905043.0,90.14,40.0,90.14,$209.99 ,$123.29 ,A316X216AI9M56,1.0,B0BJ63J5TR,0196021120381,196021120381,,Kate Spade New York,yes,,GB196021120381,N,https://www.google.com/search?q=196021120381+Kate+Spade+Sadie+Medium+Dome+Satchel+%28Lilac+Moonlight%29&tbm=shop,https://www.amazon.com/dp/B0BJ63J5TR?psc=1,Not Found,Not Found,,,,,N
Kate Spade Signature Spade Mini Studs in Rose Gold,616816.0,673731.0,23.76,20.0,23.76,$49.99 ,$26.45 ,A3S93DQ53Y04HD,2.0,B08N1PN1DF,0767883816929,767883816929,,Kate Spade New York,yes,,GB767883816929,N,https://www.google.com/search?q=767883816929+Kate+Spade+Signature+Spade+Mini+Studs+in+Rose+Gold&tbm=shop,https://www.amazon.com/dp/B08N1PN1DF?psc=1,Not Found,Not Found,,,,,N
"Kate Spade New York All Day Large Tote, Grapefruit Soda Gingham",247211.0,210761.0,199.99,3.0,199.99,$278.00 ,$228.00 ,A3GWW7CQGYIHXP,1.0,B0B6D6DFX5,0196021103643,196021103643,B08JJ61GQP,Kate Spade New York,yes,,GB196021103643,Y,https://www.google.com/search?q=196021103643+Kate+Spade+New+York+All+Day+Large+Tote%2C+Grapefruit+Soda+Gingham&tbm=shop,https://www.amazon.com/dp/B0B6D6DFX5?psc=1,"https://www.google.com/shopping/product/274090529104637383/offers?q=196021103643&prds=cid:274090529104637383,cond:1",Not Found,,,,,N
"Kate Spade New York Good Taste 4Pc Rectangular Food Storage Set, 2.65 LB, Multi",153474.0,170017.0,30.0,1000.0,30.0,$30.00 ,,-,0.0,B07NKVS4TK,0882864732200,882864732200,,Kate Spade New York,yes,,GB882864732200,Y,https://www.google.com/search?q=882864732200+Kate+Spade+New+York+Good+Taste+4Pc+Rectangular+Food+Storage+Set%2C+2.65+LB%2C+Multi&tbm=shop,https://www.amazon.com/dp/B07NKVS4TK?psc=1,"https://www.google.com/shopping/product/17812882037086433325/offers?q=882864732200&prds=cid:17812882037086433325,cond:1",Zola,29.99,50.98,56.68,,N
Kate Spade New York Sadie Envelope Leather Crossbody Purse (Black),143700.0,114638.0,83.0,1.0,83.0,$224.00 ,$87.89 ,AUZY9B2K4GQ40,5.0,B0B1TM7VQH,0196021070211,196021070211,B0B1T77BY2,Kate Spade New York,yes,,GB196021070211,N,https://www.google.com/search?q=196021070211+Kate+Spade+New+York+Sadie+Envelope+Leather+Crossbody+Purse+%28Black%29&tbm=shop,https://www.amazon.com/dp/B0B1TM7VQH?psc=1,Not Found,Not Found,,,,,N
Kate Spade New York Sadie Envelope Leather Crossbody Purse (Platinum gray),141785.0,113974.0,82.93,1.0,82.93,$179.00 ,$85.05 ,A6SA3YQONVT1,3.0,B0CKWJL8Z2,0196021370304,196021370304,B0B1T77BY2,Kate Spade New York,yes,,GB196021370304,Y,https://www.google.com/search?q=196021370304+Kate+Spade+New+York+Sadie+Envelope+Leather+Crossbody+Purse+%28Platinum+gray%29&tbm=shop,https://www.amazon.com/dp/B0CKWJL8Z2?psc=1,"https://www.google.com/shopping/product/13056135709544852816/offers?q=196021370304&prds=cid:13056135709544852816,cond:1",Not Found,,,,,N
Kate Spade New York Sadie Envelope Leather Crossbody Purse (Celestial blue),141556.0,114110.0,,,127.84,$179.00 ,$159.68 ,A1WTOJSJJF8L89,2.0,B0CBD7FVBB,0196021324291,196021324291,B0B1T77BY2,Kate Spade New York,no,,GB196021324291,Y,https://www.google.com/search?q=196021324291+Kate+Spade+New+York+Sadie+Envelope+Leather+Crossbody+Purse+%28Celestial+blue%29&tbm=shop,https://www.amazon.com/dp/B0CBD7FVBB?psc=1,"https://www.google.com/shopping/product/7595777905371644274/offers?q=196021324291&prds=cid:7595777905371644274,cond:1",Not Found,,,,,N
Kate Spade New York Sadie Envelope Leather Crossbody Purse (Deep berry),145698.0,113789.0,,,95.99,$189.00 ,$142.68 ,AUZY9B2K4GQ40,1.0,B0BNJWJ13V,0196021189029,196021189029,B0B1T77BY2,Kate Spade New York,no,,GB196021189029,N,https://www.google.com/search?q=196021189029+Kate+Spade+New+York+Sadie+Envelope+Leather+Crossbody+Purse+%28Deep+berry%29&tbm=shop,https://www.amazon.com/dp/B0BNJWJ13V?psc=1,Not Found,Not Found,,,,,N
Kate Spade New York Sadie Envelope Leather Crossbody Purse (Candid pink),139041.0,123436.0,136.4,2.0,121.45,$179.00 ,$145.38 ,A1WTOJSJJF8L89,2.0,B0CBD76K52,0196021324406,196021324406,B0B1T77BY2,Kate Spade New York,no,,GB196021324406,Y,https://www.google.com/search?q=196021324406+Kate+Spade+New+York+Sadie+Envelope+Leather+Crossbody+Purse+%28Candid+pink%29&tbm=shop,https://www.amazon.com/dp/B0CBD76K52?psc=1,"https://www.google.com/shopping/product/3108791083346081697/offers?q=196021324406&prds=cid:3108791083346081697,cond:1",Not Found,,,,,N
Kate Spade Tinsel Phone Wallet (Gold 1),275596.0,384428.0,73.0,1.0,68.0,$147.98 ,$66.57 ,A3Q8XH0WHEBH8F,5.0,B0CLHD6GR4,0196021372117,196021372117,B0BQT1WYJT,Kate Spade,no,,GB196021372117,Y,https://www.google.com/search?q=196021372117+Kate+Spade+Tinsel+Phone+Wallet+%28Gold+1%29&tbm=shop,https://www.amazon.com/dp/B0CLHD6GR4?psc=1,"https://www.google.com/shopping/product/5842826292144742928/offers?q=196021372117&prds=cid:5842826292144742928,cond:1",Not Found,,,,,N
Kate Spade New York Sadie Envelope Leather Crossbody Purse (Jade green),142633.0,113854.0,,1.0,123.38,$189.00 ,$131.12 ,A1WTOJSJJF8L89,1.0,B0BNJXDP1Q,0196021189432,196021189432,B0B1T77BY2,Kate Spade New York,yes,,GB196021189432,N,https://www.google.com/search?q=196021189432+Kate+Spade+New+York+Sadie+Envelope+Leather+Crossbody+Purse+%28Jade+green%29&tbm=shop,https://www.amazon.com/dp/B0BNJXDP1Q?psc=1,Not Found,Not Found,,,,,N
"Kate Spade New York Women's Velma/S Special Shape Sunglasses, Black/Gray Shaded, 57mm, 16mm",513158.0,486850.0,41.52,1.0,40.53,$140.00 ,$85.97 ,A1UKNGOX4CBPSO,1.0,B09PR7PSSG,0716736736976,716736736976,B0C711DV7P,Kate Spade New York,yes,,GB716736736976,N,https://www.google.com/search?q=716736736976+Kate+Spade+New+York+Women%27s+Velma%2FS+Special+Shape+Sunglasses%2C+Black%2FGray+Shaded%2C+57mm%2C+16mm&tbm=shop,https://www.amazon.com/dp/B09PR7PSSG?psc=1,Not Found,Not Found,,,,,N
"Kate Spade New York Stainless Steel Insulated Mug with Handle and Lid, 16 Ounce Double Wall Tumbler, Reusable Coffee Travel Mug for Hot and Cold Drinks, Bookshelf",69002.0,66839.0,29.95,25.0,29.95,$29.95 ,,-,0.0,B09NMMDVH6,0825466142107,825466142107,B09ZYY8V1S,Kate Spade New York,yes,,GB825466142107,Y,https://www.google.com/search?q=825466142107+Kate+Spade+New+York+Stainless+Steel+Insulated+Mug+with+Handle+and+Lid%2C+16+Ounce+Double+Wall+Tumbler%2C+Reusable+Coffee+Travel+Mug+for+Hot+and+Cold+Drinks%2C+Bookshelf&tbm=shop,https://www.amazon.com/dp/B09NMMDVH6?psc=1,"https://www.google.com/shopping/product/14010382546653010101/offers?q=825466142107&prds=cid:14010382546653010101,cond:1",Not Found,,,,,N
"kate spade new york Hummingbird womens Mini Pendant Necklace, 17"" + 3"" Extender",423398.0,535641.0,54.0,3.0,54.0,$110.00 ,,-,0.0,B01MU4SY9P,0098686651203,098686651203,,Kate Spade New York,yes,,GB098686651203,Y,https://www.google.com/search?q=098686651203+kate+spade+new+york+Hummingbird+womens+Mini+Pendant+Necklace%2C+17%22+%2B+3%22+Extender&tbm=shop,https://www.amazon.com/dp/B01MU4SY9P?psc=1,"https://www.google.com/shopping/product/7726959375415828079/offers?q=098686651203&prds=cid:7726959375415828079,cond:1",Not Found,,,,,N
Kate Spade New York Short Sleeve Notch Boxer PJ Set Mini Golf XS,356887.0,356887.0,78.0,,78.0,$78.00 ,,-,0.0,B0CN33JV25,0197117645665,197117645665,B0CN3GDT3H,Kate Spade New York,yes,,GB197117645665,N,https://www.google.com/search?q=197117645665+Kate+Spade+New+York+Short+Sleeve+Notch+Boxer+PJ+Set+Mini+Golf+XS&tbm=shop,https://www.amazon.com/dp/B0CN33JV25?psc=1,Not Found,Not Found,,,,,N
"kate spade new york, Modern Leopard",314984.0,235526.0,29.95,74.0,29.95,$29.95 ,,-,0.0,B0CCX4GPNY,0825466164796,825466164796,,kate spade new york,yes,,GB825466164796,N,https://www.google.com/search?q=825466164796+kate+spade+new+york%2C+Modern+Leopard&tbm=shop,https://www.amazon.com/dp/B0CCX4GPNY?psc=1,,,,,,,N
Kate Spade Claude Resin iPhone 13 Pro Max Case White,174890.0,197854.0,32.01,18.0,32.0,$40.00 ,,-,0.0,B0BYB49X2Y,0196021185946,196021185946,,Kate Spade New York,yes,,GB196021185946,N,https://www.google.com/search?q=196021185946+Kate+Spade+Claude+Resin+iPhone+13+Pro+Max+Case+White&tbm=shop,https://www.amazon.com/dp/B0BYB49X2Y?psc=1,Not Found,Not Found,,,,,N
"Kate Spade New York 500 Piece Puzzle for Adults, 22"" x 22"" Square Puzzle, Cute Jigsaw Puzzle with Storage Box (Matchbook)",193703.0,193703.0,24.95,,24.95,$24.95 ,,-,0.0,B0CHCD8PPT,0825466164734,825466164734,B0BBXCQ4JX,Kate Spade New York,yes,,GB825466164734,Y,https://www.google.com/search?q=825466164734+Kate+Spade+New+York+500+Piece+Puzzle+for+Adults%2C+22%22+x+22%22+Square+Puzzle%2C+Cute+Jigsaw+Puzzle+with+Storage+Box+%28Matchbook%29&tbm=shop,https://www.amazon.com/dp/B0CHCD8PPT?psc=1,"https://www.google.com/shopping/product/6382387470898531801/offers?q=825466164734&prds=cid:6382387470898531801,cond:1",Barnes & Noble,34.95,59.42,66.06,,N
"Kate Spade New York Blue Pencil Pouch Including 2 Pencils, Sharpener, Eraser, Zipper Pouch for Organizing Office Supplies, Back to Basics",248241.0,215587.0,24.93,2.0,24.93,$39.95 ,,-,0.0,B08MB5KB54,0825466122208,825466122208,B07JDJNSBS,Kate Spade New York,yes,,GB825466122208,N,https://www.google.com/search?q=825466122208+Kate+Spade+New+York+Blue+Pencil+Pouch+Including+2+Pencils%2C+Sharpener%2C+Eraser%2C+Zipper+Pouch+for+Organizing+Office+Supplies%2C+Back+to+Basics&tbm=shop,https://www.amazon.com/dp/B08MB5KB54?psc=1,Not Found,Not Found,,,,,N
